,LOAD_TIME,FFP_DATE,LAST_TO_END,FLIGHT_COUNT,avg_discount,SEG_KM_SUM,LAST_TO_END
0,2014/03/31,2006/11/02,1,210,0.961639043,580717,1
1,2014/03/31,2007/02/19,7,140,1.25231444,293678,7
2,2014/03/31,2007/02/01,11,135,1.254675516,283712,11
3,2014/03/31,2008/08/22,97,23,1.090869565,281336,97
4,2014/03/31,2009/04/10,5,152,0.970657895,309928,5
5,2014/03/31,2008/02/10,79,92,0.967692483,294585,79
6,2014/03/31,2006/03/22,1,101,0.965346535,287042,1
7,2014/03/31,2010/04/09,3,73,0.962070222,287230,3
8,2014/03/31,2011/06/07,6,56,0.828478237,321489,6
9,2014/03/31,2010/07/05,15,64,0.7080101529999999,375074,15
10,2014/03/31,2010/11/18,22,43,0.988658044,262013,22
11,2014/03/31,2004/11/13,6,145,0.95253487,271438,6
12,2014/03/31,2006/11/23,67,29,0.799126984,321529,67
13,2014/03/31,2006/10/25,3,118,1.398381742,179514,3
14,2014/03/31,2010/02/01,2,50,0.921984841,270067,2
15,2014/03/31,2008/03/28,65,22,1.026084586,234721,65
16,2014/03/31,2010/07/15,7,101,1.3865249,172231,7
17,2014/03/31,2010/11/10,45,40,0.8378442429999999,284160,45
18,2014/03/31,2006/04/06,2,64,1.401596264,169358,2
19,2014/03/31,2011/08/29,24,38,0.70828541,332896,24
20,2014/03/31,2008/07/30,4,106,1.369404116,167113,4
21,2014/03/31,2011/06/07,6,23,1.061630924,214590,6
22,2014/03/31,2005/04/10,23,94,0.741803833,305250,23
23,2014/03/31,2010/04/13,74,20,1.004904443,222380,74
24,2014/03/31,2010/02/14,17,44,0.7873084440000001,281837,17
25,2014/03/31,2010/10/14,17,62,0.902990019,243674,17
26,2014/03/31,2007/02/01,3,213,1.146354614,187917,3
27,2014/03/31,2005/01/15,11,74,1.4333644280000002,148685,11
28,2014/03/31,2006/01/07,18,101,1.33816985,159129,18
29,2014/03/31,2008/06/16,11,87,1.424714581,149254,11
30,2014/03/31,2006/04/11,2,53,1.469224298,144076,2
31,2014/03/31,2004/11/25,8,95,1.414895104,149053,8
32,2014/03/31,2005/04/11,16,131,0.944884271,220948,16
33,2014/03/31,2006/03/20,3,95,1.3986401940000002,148227,3
34,2014/03/31,2006/12/01,3,47,0.725685618,285144,3
35,2014/03/31,2009/10/13,108,25,0.937899941,220389,108
36,2014/03/31,2005/02/13,34,24,1.087220053,189813,34
37,2014/03/31,2006/03/30,125,54,1.462104927,141012,125
38,2014/03/31,2007/05/08,1,166,0.890172305,229303,1
39,2014/03/31,2009/02/27,34,81,1.4291794430000002,140819,34
40,2014/03/31,2006/04/25,2,98,1.458541443,137876,2
41,2014/03/31,2011/01/18,3,35,0.998554546,201141,3
42,2014/03/31,2007/01/04,3,95,1.3969850069999998,140803,3
43,2014/03/31,2010/05/04,13,46,0.764737193,256766,13
44,2014/03/31,2004/12/04,38,54,1.20853437,160825,38
45,2014/03/31,2010/12/11,22,21,1.029507529,185493,22
46,2014/03/31,2012/07/13,1,110,1.015978367,187588,1
47,2014/03/31,2006/07/16,7,134,1.356053179,140356,7
48,2014/03/31,2005/01/26,2,107,1.3989924230000002,135811,2
49,2014/03/31,2010/07/15,304,70,0.863479447,219282,304
50,2014/03/31,2008/05/21,1,189,0.802633323,235687,1
51,2014/03/31,2012/01/08,4,87,1.4251770069999998,132283,4
52,2014/03/31,2006/11/18,11,29,0.8888699859999999,211369,11
53,2014/03/31,2007/12/10,1,48,1.408197795,130135,1
54,2014/03/31,2007/07/06,1,68,1.349375212,135374,1
55,2014/03/31,2004/12/03,4,111,0.828452854,216560,4
56,2014/03/31,2007/11/26,22,69,1.3549435669999998,131660,22
57,2014/03/31,2008/02/02,4,126,0.867522349,204371,4
58,2014/03/31,2004/12/28,15,55,1.146000598,153868,15
59,2014/03/31,2005/01/26,21,76,0.819187329,214921,21
60,2014/03/31,2005/02/17,15,68,1.380410335,127335,15
61,2014/03/31,2004/11/19,1,77,1.288018381,136121,1
62,2014/03/31,2010/06/09,6,84,0.938031056,186821,6
63,2014/03/31,2011/05/14,14,96,0.848239546,204612,14
64,2014/03/31,2010/05/28,8,30,1.057257212,164001,8
65,2014/03/31,2005/08/13,19,85,1.4261062619999998,121097,19
66,2014/03/31,2007/11/15,88,32,0.944650121,182563,88
67,2014/03/31,2010/07/10,19,34,1.013669976,170121,19
68,2014/03/31,2010/10/30,1,197,0.620507614,275800,1
69,2014/03/31,2008/12/14,7,30,0.928504294,184194,7
70,2014/03/31,2012/08/15,62,18,0.8118710790000001,209911,62
71,2014/03/31,2009/10/19,19,64,1.236256939,137636,19
72,2014/03/31,2011/12/21,4,149,0.774487057,219108,4
73,2014/03/31,2007/11/18,13,61,1.183962818,143186,13
74,2014/03/31,2010/10/13,36,36,0.8061770690000001,209839,36
75,2014/03/31,2010/08/14,22,22,0.992454374,170406,22
76,2014/03/31,2013/03/15,29,23,0.995539285,169224,29
77,2014/03/31,2011/06/09,18,16,1.019520072,163191,18
78,2014/03/31,2010/10/26,8,102,1.179368992,140220,8
79,2014/03/31,2005/10/21,6,81,1.034587737,159255,6
80,2014/03/31,2012/06/29,6,30,0.782406571,208687,6
81,2014/03/31,2006/07/13,12,127,0.956332827,170611,12
82,2014/03/31,2008/09/19,2,56,1.394863786,116728,2
83,2014/03/31,2012/04/25,1,79,0.777341772,208797,1
84,2014/03/31,2005/02/17,9,97,1.036667137,155881,9
85,2014/03/31,2004/11/18,2,158,0.784701427,205159,2
86,2014/03/31,2006/05/08,7,64,1.3912993059999998,115300,7
87,2014/03/31,2010/07/03,13,51,1.165835855,137500,13
88,2014/03/31,2007/06/28,144,29,1.0178590440000002,157056,144
89,2014/03/31,2007/10/05,1,69,1.3874902919999998,114077,1
90,2014/03/31,2008/06/13,15,88,1.281481989,122619,15
91,2014/03/31,2011/01/31,15,42,0.966069448,162453,15
92,2014/03/31,2007/01/26,10,129,1.429138536,109813,10
93,2014/03/31,2006/11/28,14,67,1.265322199,123464,14
94,2014/03/31,2010/04/13,53,12,1.059166667,146784,53
95,2014/03/31,2004/11/26,4,100,0.952273652,162250,4
96,2014/03/31,2005/09/23,11,69,1.297050351,118726,11
97,2014/03/31,2011/04/14,34,17,1.226505277,125349,34
98,2014/03/31,2004/11/11,9,12,1.046666667,146784,9
99,2014/03/31,2012/04/27,4,54,1.053910364,144562,4
100,2014/03/31,2008/07/28,21,79,1.228445376,123985,21
101,2014/03/31,2008/09/08,5,87,1.4454897780000002,105119,5
102,2014/03/31,2012/04/28,17,53,1.046215562,144682,17
103,2014/03/31,2007/01/03,17,92,1.118316089,134823,17
104,2014/03/31,2010/05/26,11,48,1.001144569,150537,11
105,2014/03/31,2005/10/22,3,90,1.390945611,108184,3
106,2014/03/31,2009/01/18,9,56,1.435274261,104663,9
107,2014/03/31,2005/04/05,4,146,0.7832398290000001,191328,4
108,2014/03/31,2011/09/14,15,35,0.894261083,167150,15
109,2014/03/31,2011/10/09,63,33,0.85318887,174046,63
110,2014/03/31,2005/08/26,7,142,0.835532119,177357,7
111,2014/03/31,2010/11/17,44,31,0.723434195,204438,44
112,2014/03/31,2006/11/28,29,53,1.434114409,102999,29
113,2014/03/31,2007/05/31,14,21,0.925114251,159605,14
114,2014/03/31,2012/06/07,27,16,0.75375,195712,27
115,2014/03/31,2004/11/25,3,85,0.946174922,155704,3
116,2014/03/31,2004/11/24,22,71,1.225504039,119961,22
117,2014/03/31,2008/08/23,2,130,0.873661907,167593,2
118,2014/03/31,2010/05/07,4,89,0.978068228,149557,4
119,2014/03/31,2005/07/29,11,83,1.411593411,103087,11
120,2014/03/31,2004/12/02,2,99,0.8969661870000001,162215,2
121,2014/03/31,2005/03/16,27,40,0.731685018,198627,27
122,2014/03/31,2008/05/30,11,52,1.458000784,99524,11
123,2014/03/31,2005/12/29,10,65,1.210876087,119794,10
124,2014/03/31,2005/04/23,3,34,0.951756044,151642,3
125,2014/03/31,2006/08/14,6,83,0.960765569,149993,6
126,2014/03/31,2011/11/14,24,65,1.318943707,109089,24
127,2014/03/31,2012/12/20,23,18,0.982511386,146238,23
128,2014/03/31,2007/06/08,4,66,1.39722054,102689,4
129,2014/03/31,2006/04/17,2,52,1.3569867919999998,105167,2
130,2014/03/31,2011/03/15,38,27,0.780547269,182561,38
131,2014/03/31,2004/11/30,1,193,0.6756097790000001,209912,1
132,2014/03/31,2012/06/26,6,65,0.764,184730,6
133,2014/03/31,2012/04/11,59,14,0.97367319,144708,59
134,2014/03/31,2009/10/19,11,24,0.658633893,213058,11
135,2014/03/31,2010/10/09,17,89,0.787337009,177556,17
136,2014/03/31,2008/06/20,8,57,1.42497258,98104,8
137,2014/03/31,2009/11/13,12,101,0.996902945,140188,12
138,2014/03/31,2013/03/03,16,19,0.897522308,155552,16
139,2014/03/31,2006/06/29,24,95,0.988949912,140931,24
140,2014/03/31,2008/04/01,7,85,1.423453171,97855,7
141,2014/03/31,2004/11/24,22,108,0.8176859540000001,169746,22
142,2014/03/31,2004/11/26,4,64,1.426656247,97250,4
143,2014/03/31,2005/04/02,3,113,0.6743815809999999,204853,3
144,2014/03/31,2009/08/27,1,31,1.438600025,95766,1
145,2014/03/31,2005/11/16,5,79,1.065611103,129119,5
146,2014/03/31,2012/05/02,17,109,0.843554751,163010,17
147,2014/03/31,2009/03/29,18,19,0.681331859,201613,18
148,2014/03/31,2009/06/04,25,120,0.7902875509999999,172352,25
149,2014/03/31,2006/04/15,1,45,1.154155854,116917,1
150,2014/03/31,2007/05/08,135,19,0.988910129,136374,135
151,2014/03/31,2010/05/27,184,22,0.993493225,135717,184
152,2014/03/31,2009/12/27,15,80,1.277942503,105118,15
153,2014/03/31,2006/12/25,6,82,1.255920537,106666,6
154,2014/03/31,2010/08/08,12,90,0.744693267,179472,12
155,2014/03/31,2010/08/06,157,17,0.931991388,143287,157
156,2014/03/31,2006/09/15,9,39,1.374724556,97116,9
157,2014/03/31,2008/05/05,11,102,1.295748779,102961,11
158,2014/03/31,2004/11/24,11,90,0.8431856670000001,158149,11
159,2014/03/31,2005/01/22,7,125,0.75433474,176585,7
160,2014/03/31,2007/02/07,23,77,1.414713624,94142,23
161,2014/03/31,2004/12/07,6,79,0.843179595,157844,6
162,2014/03/31,2006/11/09,13,116,0.802227557,165365,13
163,2014/03/31,2011/01/19,15,58,1.448642081,91515,15
164,2014/03/31,2006/07/23,8,109,0.914492693,144321,8
165,2014/03/31,2006/07/10,9,180,0.720028487,182540,9
166,2014/03/31,2010/01/13,1,103,0.602317149,218087,1
167,2014/03/31,2005/01/19,8,107,0.841613512,155834,8
168,2014/03/31,2011/03/30,121,14,1.040394289,125796,121
169,2014/03/31,2010/02/12,2,149,0.836742487,155588,2
170,2014/03/31,2011/09/13,49,76,1.380177417,94185,49
171,2014/03/31,2007/02/10,3,55,1.369523774,94577,3
172,2014/03/31,2011/09/21,4,80,1.407186108,92022,4
173,2014/03/31,2005/01/23,16,40,0.926317142,139742,16
174,2014/03/31,2006/01/15,7,142,0.702883928,183472,7
175,2014/03/31,2013/03/16,23,14,1.016463224,126850,23
176,2014/03/31,2011/02/25,30,24,1.026238631,125340,30
177,2014/03/31,2011/05/12,18,13,1.014545871,126495,18
178,2014/03/31,2006/12/06,2,85,0.843447435,151736,2
179,2014/03/31,2005/03/02,3,68,1.085817147,117537,3
180,2014/03/31,2005/03/31,8,116,0.786706177,161730,8
181,2014/03/31,2012/04/09,2,123,1.419099832,89350,2
182,2014/03/31,2007/04/04,17,47,1.389867279,91018,17
183,2014/03/31,2010/08/08,95,14,1.022610665,123662,95
184,2014/03/31,2006/06/20,107,49,1.394936204,90602,107
185,2014/03/31,2005/05/27,2,86,0.799002655,157799,2
186,2014/03/31,2008/02/18,11,60,1.182681834,106278,11
187,2014/03/31,2005/07/24,4,110,0.7509068409999999,166843,4
188,2014/03/31,2010/08/10,179,15,0.681333333,183480,179
189,2014/03/31,2005/03/20,2,67,1.046676247,119347,2
190,2014/03/31,2010/02/13,1,51,1.259950118,99034,1
191,2014/03/31,2010/05/17,69,74,1.289827497,96520,69
192,2014/03/31,2010/09/18,27,12,1.023333333,121632,27
193,2014/03/31,2009/11/01,6,59,1.461263576,85171,6
194,2014/03/31,2009/08/27,18,120,0.701123814,176951,18
195,2014/03/31,2008/09/02,3,60,1.40060309,88428,3
196,2014/03/31,2006/06/05,1,57,1.366744227,90553,1
197,2014/03/31,2011/12/18,57,43,0.631640227,195034,57
198,2014/03/31,2008/04/20,2,113,0.81511929,151060,2
199,2014/03/31,2005/05/01,23,42,0.743348652,165589,23
200,2014/03/31,2005/04/27,16,58,1.299097235,94554,16
201,2014/03/31,2005/10/12,30,16,0.66544855,184227,30
202,2014/03/31,2004/11/23,18,122,0.68017726,180074,18
203,2014/03/31,2005/05/29,6,72,1.343311285,91164,6
204,2014/03/31,2009/11/13,10,113,1.008554047,121394,10
205,2014/03/31,2005/08/02,2,77,0.7772353470000001,157206,2
206,2014/03/31,2008/12/13,10,57,1.332451177,91658,10
207,2014/03/31,2012/01/04,13,16,1.057235119,115401,13
208,2014/03/31,2009/05/08,9,77,0.803643702,151637,9
209,2014/03/31,2005/01/20,3,88,1.039534044,117157,3
210,2014/03/31,2007/05/27,51,13,0.884236795,137604,51
211,2014/03/31,2005/05/20,3,124,1.070194781,113615,3
212,2014/03/31,2005/11/17,31,69,0.823818121,147549,31
213,2014/03/31,2008/02/26,1,66,1.406350341,86430,1
214,2014/03/31,2010/12/01,102,26,0.6793056709999999,178921,102
215,2014/03/31,2009/08/01,4,59,1.273062688,94946,4
216,2014/03/31,2007/06/04,1,125,0.6379945770000001,189177,1
217,2014/03/31,2009/03/14,11,97,0.701652637,171544,11
218,2014/03/31,2006/01/25,3,57,0.832500467,144505,3
219,2014/03/31,2011/01/04,5,64,0.457967364,262290,5
220,2014/03/31,2004/12/24,114,49,1.3509114430000002,88903,114
221,2014/03/31,2007/09/17,2,58,1.423312271,84353,2
222,2014/03/31,2005/04/06,5,136,0.82433441,145540,5
223,2014/03/31,2010/12/17,4,68,0.8048453440000001,148879,4
224,2014/03/31,2008/02/11,4,71,0.664729007,180226,4
225,2014/03/31,2006/11/01,16,116,0.916310894,130636,16
226,2014/03/31,2007/05/28,1,110,0.6930268190000001,172640,1
227,2014/03/31,2008/07/21,12,105,0.823284201,145253,12
228,2014/03/31,2009/03/03,21,52,1.433468257,83356,21
229,2014/03/31,2005/06/16,3,106,0.714441235,167199,3
230,2014/03/31,2005/04/17,178,11,1.065035317,112128,178
231,2014/03/31,2010/04/28,13,59,1.283990608,92635,13
232,2014/03/31,2007/11/29,18,59,0.817583423,145433,18
233,2014/03/31,2006/01/16,26,83,1.254728561,94441,26
234,2014/03/31,2012/05/08,317,10,0.966,122320,317
235,2014/03/31,2008/08/31,1,116,0.8661216490000001,136228,1
236,2014/03/31,2005/04/19,2,95,0.849043083,138873,2
