,L,R,F,M,C
0,2706,1,210,580717,0.9616390429999999
1,2597,7,140,293678,1.25231444
2,2615,11,135,283712,1.254675516
3,2047,97,23,281336,1.090869565
4,1816,5,152,309928,0.970657895
5,2241,79,92,294585,0.967692483
6,2931,1,101,287042,0.965346535
7,1452,3,73,287230,0.962070222
8,1028,6,56,321489,0.828478237
9,1365,15,64,375074,0.7080101529999999
10,1229,22,43,262013,0.988658044
11,3425,6,145,271438,0.95253487
12,2685,67,29,321529,0.799126984
13,2714,3,118,179514,1.398381742
14,1519,2,50,270067,0.9219848409999999
15,2194,65,22,234721,1.0260845859999999
16,1355,7,101,172231,1.3865249
17,1237,45,40,284160,0.8378442429999999
18,2916,2,64,169358,1.4015962640000001
19,945,24,38,332896,0.70828541
20,2070,4,106,167113,1.369404116
21,1028,6,23,214590,1.0616309240000001
22,3277,23,94,305250,0.741803833
23,1448,74,20,222380,1.004904443
24,1506,17,44,281837,0.7873084440000001
25,1264,17,62,243674,0.9029900190000001
26,2615,3,213,187917,1.146354614
27,3362,11,74,148685,1.4333644280000002
28,3005,18,101,159129,1.33816985
29,2114,11,87,149254,1.424714581
30,2911,2,53,144076,1.469224298
31,3413,8,95,149053,1.414895104
32,3276,16,131,220948,0.9448842709999999
33,2933,3,95,148227,1.3986401940000002
34,2677,3,47,285144,0.725685618
35,1630,108,25,220389,0.937899941
36,3333,34,24,189813,1.087220053
37,2923,125,54,141012,1.462104927
38,2519,1,166,229303,0.890172305
39,1858,34,81,140819,1.4291794430000002
40,2897,2,98,137876,1.458541443
41,1168,3,35,201141,0.9985545459999999
42,2643,3,95,140803,1.3969850069999998
43,1427,13,46,256766,0.764737193
44,3404,38,54,160825,1.20853437
45,1206,22,21,185493,1.029507529
46,626,1,110,187588,1.015978367
47,2815,7,134,140356,1.356053179
48,3351,2,107,135811,1.3989924230000002
49,1355,304,70,219282,0.863479447
50,2140,1,189,235687,0.802633323
51,813,4,87,132283,1.4251770069999998
52,2690,11,29,211369,0.8888699859999999
53,2303,1,48,130135,1.408197795
54,2460,1,68,135374,1.349375212
55,3405,4,111,216560,0.828452854
56,2317,22,69,131660,1.3549435669999998
57,2249,4,126,204371,0.867522349
58,3380,15,55,153868,1.1460005979999999
59,3351,21,76,214921,0.819187329
60,3329,15,68,127335,1.380410335
61,3419,1,77,136121,1.2880183809999999
62,1391,6,84,186821,0.9380310559999999
63,1052,14,96,204612,0.848239546
64,1403,8,30,164001,1.0572572120000001
65,3152,19,85,121097,1.4261062619999998
66,2328,88,32,182563,0.9446501209999999
67,1360,19,34,170121,1.0136699759999999
