,LOAD_TIME,FFP_DATE,LAST_TO_END,FLIGHT_COUNT,avg_discount,SEG_KM_SUM,LAST_TO_END,P1Y_Flight_Count,L1Y_Flight_Count
0,2014/03/31,2006/11/02,1,210,0.961639043,580717,1,103,107
1,2014/03/31,2007/02/19,7,140,1.25231444,293678,7,68,72
2,2014/03/31,2007/02/01,11,135,1.254675516,283712,11,65,70
3,2014/03/31,2008/08/22,97,23,1.090869565,281336,97,13,10
4,2014/03/31,2009/04/10,5,152,0.970657895,309928,5,71,81
5,2014/03/31,2008/02/10,79,92,0.967692483,294585,79,50,42
6,2014/03/31,2006/03/22,1,101,0.965346535,287042,1,50,51
7,2014/03/31,2010/04/09,3,73,0.962070222,287230,3,30,43
8,2014/03/31,2011/06/07,6,56,0.828478237,321489,6,33,23
9,2014/03/31,2010/07/05,15,64,0.7080101529999999,375074,15,39,25
10,2014/03/31,2010/11/18,22,43,0.988658044,262013,22,20,23
11,2014/03/31,2004/11/13,6,145,0.95253487,271438,6,57,88
12,2014/03/31,2006/11/23,67,29,0.799126984,321529,67,14,15
13,2014/03/31,2006/10/25,3,118,1.398381742,179514,3,52,66
14,2014/03/31,2010/02/01,2,50,0.921984841,270067,2,25,25
15,2014/03/31,2008/03/28,65,22,1.026084586,234721,65,11,11
16,2014/03/31,2010/07/15,7,101,1.3865249,172231,7,46,55
17,2014/03/31,2010/11/10,45,40,0.8378442429999999,284160,45,15,25
18,2014/03/31,2006/04/06,2,64,1.401596264,169358,2,32,32
19,2014/03/31,2011/08/29,24,38,0.70828541,332896,24,20,18
20,2014/03/31,2008/07/30,4,106,1.369404116,167113,4,44,62
21,2014/03/31,2011/06/07,6,23,1.061630924,214590,6,8,15
22,2014/03/31,2005/04/10,23,94,0.741803833,305250,23,43,51
23,2014/03/31,2010/04/13,74,20,1.004904443,222380,74,13,7
24,2014/03/31,2010/02/14,17,44,0.7873084440000001,281837,17,17,27
25,2014/03/31,2010/10/14,17,62,0.902990019,243674,17,20,42
26,2014/03/31,2007/02/01,3,213,1.146354614,187917,3,118,95
27,2014/03/31,2005/01/15,11,74,1.4333644280000002,148685,11,40,34
28,2014/03/31,2006/01/07,18,101,1.33816985,159129,18,49,52
29,2014/03/31,2008/06/16,11,87,1.424714581,149254,11,42,45
30,2014/03/31,2006/04/11,2,53,1.469224298,144076,2,27,26
31,2014/03/31,2004/11/25,8,95,1.414895104,149053,8,66,29
32,2014/03/31,2005/04/11,16,131,0.944884271,220948,16,58,73
33,2014/03/31,2006/03/20,3,95,1.3986401940000002,148227,3,56,39
34,2014/03/31,2006/12/01,3,47,0.725685618,285144,3,22,25
35,2014/03/31,2009/10/13,108,25,0.937899941,220389,108,12,13
36,2014/03/31,2005/02/13,34,24,1.087220053,189813,34,18,6
37,2014/03/31,2006/03/30,125,54,1.462104927,141012,125,32,22
38,2014/03/31,2007/05/08,1,166,0.890172305,229303,1,68,98
39,2014/03/31,2009/02/27,34,81,1.4291794430000002,140819,34,41,40
40,2014/03/31,2006/04/25,2,98,1.458541443,137876,2,51,47
41,2014/03/31,2011/01/18,3,35,0.998554546,201141,3,20,15
42,2014/03/31,2007/01/04,3,95,1.3969850069999998,140803,3,44,51
43,2014/03/31,2010/05/04,13,46,0.764737193,256766,13,26,20
44,2014/03/31,2004/12/04,38,54,1.20853437,160825,38,25,29
45,2014/03/31,2010/12/11,22,21,1.029507529,185493,22,11,10
46,2014/03/31,2012/07/13,1,110,1.015978367,187588,1,37,73
47,2014/03/31,2006/07/16,7,134,1.356053179,140356,7,78,56
48,2014/03/31,2005/01/26,2,107,1.3989924230000002,135811,2,56,51
49,2014/03/31,2010/07/15,304,70,0.863479447,219282,304,61,9
50,2014/03/31,2008/05/21,1,189,0.802633323,235687,1,78,111
51,2014/03/31,2012/01/08,4,87,1.4251770069999998,132283,4,38,49
52,2014/03/31,2006/11/18,11,29,0.8888699859999999,211369,11,10,19
53,2014/03/31,2007/12/10,1,48,1.408197795,130135,1,17,31
54,2014/03/31,2007/07/06,1,68,1.349375212,135374,1,27,41
55,2014/03/31,2004/12/03,4,111,0.828452854,216560,4,51,60
56,2014/03/31,2007/11/26,22,69,1.3549435669999998,131660,22,31,38
57,2014/03/31,2008/02/02,4,126,0.867522349,204371,4,63,63
58,2014/03/31,2004/12/28,15,55,1.146000598,153868,15,25,30
59,2014/03/31,2005/01/26,21,76,0.819187329,214921,21,30,46
60,2014/03/31,2005/02/17,15,68,1.380410335,127335,15,32,36
61,2014/03/31,2004/11/19,1,77,1.288018381,136121,1,29,48
62,2014/03/31,2010/06/09,6,84,0.938031056,186821,6,33,51
63,2014/03/31,2011/05/14,14,96,0.848239546,204612,14,54,42
64,2014/03/31,2010/05/28,8,30,1.057257212,164001,8,9,21
65,2014/03/31,2005/08/13,19,85,1.4261062619999998,121097,19,47,38
66,2014/03/31,2007/11/15,88,32,0.944650121,182563,88,19,13
67,2014/03/31,2010/07/10,19,34,1.013669976,170121,19,22,12
68,2014/03/31,2010/10/30,1,197,0.620507614,275800,1,117,80
69,2014/03/31,2008/12/14,7,30,0.928504294,184194,7,15,15
70,2014/03/31,2012/08/15,62,18,0.8118710790000001,209911,62,6,12
