,L,R,F,M,C,K
0,2706,1,210,580717,0.9616390429999999,A
1,2597,7,140,293678,1.25231444,A
2,2615,11,135,283712,1.254675516,A
3,2047,97,23,281336,1.090869565,B
4,1816,5,152,309928,0.970657895,A
5,2241,79,92,294585,0.967692483,B
6,2931,1,101,287042,0.965346535,A
7,1452,3,73,287230,0.962070222,A
8,1028,6,56,321489,0.828478237,B
9,1365,15,64,375074,0.7080101529999999,B
10,1229,22,43,262013,0.988658044,A
11,3425,6,145,271438,0.95253487,A
12,2685,67,29,321529,0.799126984,A
13,2714,3,118,179514,1.398381742,A
14,1519,2,50,270067,0.9219848409999999,A
15,2194,65,22,234721,1.0260845859999999,A
16,1355,7,101,172231,1.3865249,A
17,1237,45,40,284160,0.8378442429999999,A
18,2916,2,64,169358,1.4015962640000001,A
19,945,24,38,332896,0.70828541,A
20,2070,4,106,167113,1.369404116,A
21,1028,6,23,214590,1.0616309240000001,A
22,3277,23,94,305250,0.741803833,A
23,1448,74,20,222380,1.004904443,B
24,1506,17,44,281837,0.7873084440000001,A
25,1264,17,62,243674,0.9029900190000001,A
26,2615,3,213,187917,1.146354614,B
27,3362,11,74,148685,1.4333644280000002,B
28,3005,18,101,159129,1.33816985,A
29,2114,11,87,149254,1.424714581,A
30,2911,2,53,144076,1.469224298,A
31,3413,8,95,149053,1.414895104,C
32,3276,16,131,220948,0.9448842709999999,A
33,2933,3,95,148227,1.3986401940000002,B
34,2677,3,47,285144,0.725685618,A
35,1630,108,25,220389,0.937899941,A
36,3333,34,24,189813,1.087220053,C
37,2923,125,54,141012,1.462104927,B
38,2519,1,166,229303,0.890172305,A
39,1858,34,81,140819,1.4291794430000002,A
40,2897,2,98,137876,1.458541443,A
41,1168,3,35,201141,0.9985545459999999,B
42,2643,3,95,140803,1.3969850069999998,A
43,1427,13,46,256766,0.764737193,B
44,3404,38,54,160825,1.20853437,A
45,1206,22,21,185493,1.029507529,A
46,626,1,110,187588,1.015978367,A
47,2815,7,134,140356,1.356053179,B
48,3351,2,107,135811,1.3989924230000002,A
49,1355,304,70,219282,0.863479447,C
50,2140,1,189,235687,0.802633323,A
51,813,4,87,132283,1.4251770069999998,A
52,2690,11,29,211369,0.8888699859999999,A
53,2303,1,48,130135,1.408197795,A
54,2460,1,68,135374,1.349375212,A
55,3405,4,111,216560,0.828452854,A
56,2317,22,69,131660,1.3549435669999998,A
57,2249,4,126,204371,0.867522349,A
